"ansi_code","State","State_name","Date","Trump","Cruz","Rubio","Kasich","winner","margin","Delegates","Trump_del","Cruz_del","Rubio_Del","Kasich_del","Primary_or_caucus","Delegate_allocation","open_or_closed","pop_vote","del_sent","PTrump","PCruz","PRubio","PKasich","PDTrump","PDCruz","PDRubio","PDKasich","del_prop"
19,"IA","Iowa","02/01/16",45427,51666,43165,3474,"Cruz",6239,30,7,8,7,1,"Caucus","Proportional","Closed",143732,23,0.316053488436813,0.359460662900398,0.300315865638828,0.0241699830239613,0.304347826086957,0.347826086956522,0.304347826086957,0.0434782608695652,17.9595208880449
33,"NH","New Hampshire","02/09/16",100406,33189,30032,44909,"Trump",55497,23,11,3,2,4,"Primary","Proportional*","Open**",208536,20,0.48148041585146,0.159152376568075,0.144013503663636,0.21535370391683,0.55,0.15,0.1,0.2,26.0568742375346
45,"SC","South Carolina","02/20/16",239851,164790,165881,56206,"Trump",73970,50,50,0,0,0,"Primary","Winner Take All∇","Open",626728,50,0.382703501359441,0.26293703169477,0.264677818766674,0.0896816481791144,1,0,0,0,78.3105683294088
32,"NV","Nevada","02/23/16",34531,16079,17940,2709,"Trump",16591,30,14,6,7,1,"Caucus","Proportional","Closed",71259,28,0.484584403373609,0.225641673332491,0.251757672715025,0.0380162505788742,0.5,0.214285714285714,0.25,0.0357142857142857,8.90391491777189
1,"AL","Alabama","03/01/16",371735,180608,159802,37970,"Trump",191127,50,36,13,1,0,"Primary","Proportional*#∇","Open",750115,50,0.495570679162528,0.240773748025303,0.213036667710951,0.0506189051012178,0.72,0.26,0.02,0,93.7279520979029
2,"AK","Alaska","03/01/16",7346,7973,3318,892,"Cruz",627,28,11,12,5,0,"Caucus","Proportional*","Closed",19529,28,0.376158533463055,0.408264632085616,0.169901172615085,0.0456756618362435,0.392857142857143,0.428571428571429,0.178571428571429,0,2.44017674159288
5,"AR","Arkansas","03/01/16",133144,123873,101235,15098,"Trump",9271,40,16,15,9,0,"Primary","Proportional*#","Open",373350,40,0.356619793759207,0.331787866613098,0.271153073523503,0.0404392661041918,0.4,0.375,0.225,0,46.6506214590457
13,"GA","Georgia","03/01/16",501707,305109,315979,72303,"Trump",185728,76,42,18,16,0,"Primary","Proportional*#∇","Open**",1195098,76,0.41980406627741,0.255300402142753,0.264395890546215,0.0604996410336223,0.552631578947368,0.236842105263158,0.210526315789474,0,149.329220314618
25,"MA","Massachusetts","03/01/16",311313,60473,112822,113783,"Trump",197530,42,22,4,8,8,"Primary","Proportional*","Open**",598391,42,0.520250137451934,0.101059340798909,0.188542274198643,0.190148247550515,0.523809523809524,0.0952380952380952,0.19047619047619,0.19047619047619,74.7698192727998
27,"MN","Minnesota","03/01/16",24018,32684,41126,6488,"Rubio",8442,38,8,13,17,0,"Caucus","Proportional*#∇","Open",104316,38,0.230242724030829,0.313317228421335,0.394244411212086,0.0621956363357491,0.210526315789474,0.342105263157895,0.447368421052632,0,13.0344347880589
40,"OK","Oklahoma","03/01/16",130141,157941,119562,16515,"Cruz",27800,43,13,15,12,0,"Primary","Proportional*#∇","Closed",424159,40,0.306821262781174,0.37236272246964,0.281880144002603,0.0389358707465832,0.325,0.375,0.3,0,52.9992793556913
47,"TN","Tennessee","03/01/16",332702,211159,180989,45243,"Trump",121543,58,33,16,9,0,"Primary","Proportional*#∇","Open",770093,58,0.432028339434328,0.274199349948643,0.235022263544793,0.0587500470722367,0.568965517241379,0.275862068965517,0.155172413793103,0,96.2242320376613
48,"TX","Texas","03/01/16",757618,1239370,502223,120257,"Cruz",481752,155,48,104,3,0,"Primary","Proportional*#∇","Open",2619468,155,0.289225903885827,0.47313805704059,0.191727098784944,0.0459089402886388,0.309677419354839,0.670967741935484,0.0193548387096774,0,327.306308000759
50,"VT","Vermont","03/01/16",19968,5929,11778,18543,"Trump",1425,16,8,0,0,8,"Primary","Proportional*#","Open",56218,16,0.355188729588388,0.105464441993668,0.209505852218151,0.329840976199794,0.5,0,0,0.5,7.02452025494745
51,"VA","Virginia","03/01/16",355960,173193,327042,96519,"Trump",28918,49,17,8,16,5,"Primary","Proportional","Open",952714,46,0.373627342518321,0.181789078359298,0.343274057062245,0.101309522060136,0.369565217391304,0.173913043478261,0.347826086956522,0.108695652173913,119.042989614928
20,"KS","Kansas","03/05/16",17062,35207,12189,7795,"Cruz",18145,40,9,24,6,1,"Caucus","Proportional*∇","Closed",72253,40,0.236142443912363,0.487273884821392,0.168698877555257,0.107884793710988,0.225,0.6,0.15,0.025,9.02811665268629
21,"KY","Kentucky","03/05/16",82493,72503,37579,33134,"Trump",9990,46,17,15,7,7,"Caucus","Proportional*","Closed",225709,46,0.365483875255307,0.321223345103651,0.166493139396302,0.14679964024474,0.369565217391304,0.326086956521739,0.152173913043478,0.152173913043478,28.2026653780628
22,"LA","Louisiana","03/05/16",124818,113949,33804,19355,"Trump",10869,46,18,18,5,0,"Primary","Proportional*∇","Closed",291926,41,0.427567260196077,0.390335221939807,0.115796468968163,0.0663010488959531,0.439024390243902,0.439024390243902,0.121951219512195,0,36.4765751173252
23,"ME","Maine","03/05/16",6070,8550,1492,2270,"Cruz",2480,23,9,12,0,2,"Caucus","Proportional*#","Closed",18382,23,0.33021434011533,0.465128930475465,0.0811663583940812,0.123490371015123,0.391304347826087,0.521739130434783,0,0.0869565217391304,2.29685743581138
15,"HI","Hawaii","03/08/16",5677,4379,1759,1413,"Trump",1298,19,11,7,1,0,"Caucus","Proportional*∇","Closed",13228,19,0.429165406713033,0.331040217719988,0.132975506501361,0.106818869065618,0.578947368421053,0.368421052631579,0.0526315789473684,0,1.65285769562142
16,"ID","Idaho","03/08/16",62478,100942,35347,16517,"Cruz",38464,32,12,20,0,0,"Primary","Proportional*#","Closed",215284,32,0.290211999033834,0.468878318871816,0.164187770572825,0.076721911521525,0.375,0.625,0,0,26.9000465787845
26,"MI","Michigan","03/08/16",483751,330015,123673,321655,"Trump",153736,59,25,17,0,17,"Primary","Proportional*#","Open",1259094,59,0.384205627220843,0.262105132738302,0.0982238021942762,0.255465437846579,0.423728813559322,0.288135593220339,0,0.288135593220339,157.325612897698
28,"MS","Mississippi","03/08/16",191755,147065,20768,35817,"Trump",44690,40,25,15,0,0,"Primary","Proportional*∇","Open",395405,40,0.484958460312844,0.371935104513094,0.0525233621223809,0.0905830730516812,0.625,0.375,0,0,49.4064255471112
11,"DC","District of Columbia","03/12/16",391,351,1059,1009,"Rubio",50,19,0,0,10,9,"Convention","Proportional*","Closed",2810,19,0.13914590747331,0.12491103202847,0.376868327402135,0.359074733096085,0,0,0.526315789473684,0.473684210526316,0.351113556448154
12,"FL","Florida","03/15/16",1077221,403640,636653,159412,"Trump",440568,99,99,0,0,0,"Primary","Winner Take All","Closed",2276926,99,0.473103210205338,0.177274096742714,0.279610755905111,0.0700119371468374,1,0,0,0,284.505190615398
17,"IL","Illinois","03/15/16",551053,430170,122954,279518,"Trump",120883,69,53,9,0,5,"Primary","Winner Take All∇","Open",1383695,67,0.398247446149621,0.310884985491745,0.0888591777812307,0.202008390577403,0.791044776119403,0.134328358208955,0,0.0746268656716418,172.894687718693
29,"MO","Missouri","03/15/16",382093,380367,57006,92533,"Trump",1726,52,25,15,0,0,"Primary","Winner Take All∇","Open",911999,40,0.418962082195266,0.417069536260456,0.0625066474853591,0.101461734058919,0.625,0.375,0,0,113.955591589737
37,"NC","North Carolina","03/15/16",458151,418740,87858,144299,"Trump",39411,72,29,27,6,9,"Primary","Proportional","Open**",1109048,71,0.413102949556737,0.377567066529131,0.0792192943858156,0.130110689528316,0.408450704225352,0.380281690140845,0.0845070422535211,0.126760563380282,138.577148594915
39,"OH","Ohio","03/15/16",727585,267592,59418,956762,"Kasich",229177,66,0,0,0,66,"Primary","Winner Take All","Open**",2011357,66,0.361738368673488,0.133040529354063,0.0295412500118079,0.475679851960641,0,0,0,1,251.321960696402
4,"AZ","Arizona","03/22/16",249916,132147,70556,53040,"Trump",117769,58,58,0,0,0,"Primary","Winner Take All","Closed",505659,58,0.494238211917518,0.261336196923223,0.139532768130301,0.104892823028958,1,0,0,0,63.1828220071235
49,"UT","Utah","03/22/16",24864,122567,0,29773,"Cruz",92794,40,0,40,0,0,"Caucus","Proportional*#","Closed",177204,40,0.140312859754859,0.691671745558791,0,0.16801539468635,0,1,0,0,22.1418956074159
